,lat,lng,pvalue,value,region,log-pvalue,thresh-pvalue,counts
0,-60,-170,0.2099999999999999,0.2099999999999999,"(-65.0, -55.0, -175.0, -165.0)",-0.6777807052660809,1.0,0.0
1,-50,-170,0.0131,0.0131,"(-55.0, -45.0, -175.0, -165.0)",-1.8827287043442358,1.0,0.0
2,-40,-170,0.3582,0.3582,"(-45.0, -35.0, -175.0, -165.0)",-0.4458744184869873,1.0,0.0
3,-30,-170,0.0,0.0,"(-35.0, -25.0, -175.0, -165.0)",-inf,0.0,24.0
4,-20,-170,0.0,0.0,"(-25.0, -15.0, -175.0, -165.0)",-inf,0.0,24.0
5,-10,-170,0.0,0.0,"(-15.0, -5.0, -175.0, -165.0)",-inf,0.0,24.0
6,0,-170,0.0,0.0,"(-5.0, 5.0, -175.0, -165.0)",-inf,0.0,24.0
7,10,-170,0.0015,0.0015,"(5.0, 15.0, -175.0, -165.0)",-2.8239087409443187,0.0015,24.0
8,20,-170,0.0008,0.0008,"(15.0, 25.0, -175.0, -165.0)",-3.0969100130080562,0.0008,24.0
9,30,-170,0.0004,0.0004,"(25.0, 35.0, -175.0, -165.0)",-3.3979400086720375,0.0004,24.0
10,40,-170,0.3573999999999999,0.3573999999999999,"(35.0, 45.0, -175.0, -165.0)",-0.4468454518303747,1.0,0.0
11,50,-170,0.1350999999999999,0.1350999999999999,"(45.0, 55.0, -175.0, -165.0)",-0.8693446509779698,1.0,0.0
12,60,-170,0.4068999999999999,0.4068999999999999,"(55.0, 65.0, -175.0, -165.0)",-0.3905123101467149,1.0,0.0
13,70,-170,0.0016999999999999,0.0016999999999999,"(65.0, 75.0, -175.0, -165.0)",-2.7695510786217516,0.0016999999999999,22.0
14,-60,-160,0.1809999999999999,0.1809999999999999,"(-65.0, -55.0, -165.0, -155.0)",-0.7423214251308157,1.0,0.0
15,-50,-160,0.1047,0.1047,"(-55.0, -45.0, -165.0, -155.0)",-0.9800533183211576,1.0,0.0
16,-40,-160,0.3040999999999999,0.3040999999999999,"(-45.0, -35.0, -165.0, -155.0)",-0.516983579855868,1.0,0.0
17,-30,-160,0.0,0.0,"(-35.0, -25.0, -165.0, -155.0)",-inf,0.0,24.0
18,-20,-160,0.0,0.0,"(-25.0, -15.0, -165.0, -155.0)",-inf,0.0,24.0
19,-10,-160,0.0,0.0,"(-15.0, -5.0, -165.0, -155.0)",-inf,0.0,24.0
20,0,-160,0.0,0.0,"(-5.0, 5.0, -165.0, -155.0)",-inf,0.0,24.0
21,10,-160,0.0011999999999999,0.0011999999999999,"(5.0, 15.0, -165.0, -155.0)",-2.9208187539524113,0.0011999999999999,24.0
22,20,-160,0.0253999999999999,0.0253999999999999,"(15.0, 25.0, -165.0, -155.0)",-1.5951662833800637,1.0,0.0
23,30,-160,0.0927999999999999,0.0927999999999999,"(25.0, 35.0, -165.0, -155.0)",-1.0324520237811385,1.0,0.0
24,40,-160,0.0468,0.0468,"(35.0, 45.0, -165.0, -155.0)",-1.329754146925876,1.0,0.0
25,50,-160,0.2636,0.2636,"(45.0, 55.0, -165.0, -155.0)",-0.5790545940780277,1.0,0.0
26,60,-160,0.2363,0.2363,"(55.0, 65.0, -165.0, -155.0)",-0.6265362783676309,1.0,0.0
27,70,-160,0.1076,0.1076,"(65.0, 75.0, -165.0, -155.0)",-0.9681877286696297,1.0,0.0
28,-60,-150,0.1607,0.1607,"(-65.0, -55.0, -155.0, -145.0)",-0.7939841232366555,1.0,0.0
29,-50,-150,0.1854999999999999,0.1854999999999999,"(-55.0, -45.0, -155.0, -145.0)",-0.7316560860489356,1.0,0.0
30,-40,-150,0.3451,0.3451,"(-45.0, -35.0, -155.0, -145.0)",-0.4620550407085131,1.0,0.0
31,-30,-150,0.0,0.0,"(-35.0, -25.0, -155.0, -145.0)",-inf,0.0,24.0
32,-20,-150,0.0015,0.0015,"(-25.0, -15.0, -155.0, -145.0)",-2.8239087409443187,0.0015,24.0
33,-10,-150,0.0017999999999999,0.0017999999999999,"(-15.0, -5.0, -155.0, -145.0)",-2.744727494896718,0.0017999999999999,24.0
34,0,-150,0.0,0.0,"(-5.0, 5.0, -155.0, -145.0)",-inf,0.0,24.0
35,10,-150,0.0105,0.0105,"(5.0, 15.0, -155.0, -145.0)",-1.978810700930062,1.0,0.0
36,20,-150,0.0057,0.0057,"(15.0, 25.0, -155.0, -145.0)",-2.2441251443275085,1.0,0.0
37,30,-150,0.4898,0.4898,"(25.0, 35.0, -155.0, -145.0)",-0.30998121921130467,1.0,0.0
38,40,-150,0.0126999999999999,0.0126999999999999,"(35.0, 45.0, -155.0, -145.0)",-1.8961962790440465,1.0,0.0
39,50,-150,0.0281999999999999,0.0281999999999999,"(45.0, 55.0, -155.0, -145.0)",-1.5497508916806404,1.0,0.0
40,60,-150,0.0002999999999999,0.0002999999999999,"(55.0, 65.0, -155.0, -145.0)",-3.522878745280482,0.0002999999999999,24.0
41,70,-150,0.2335,0.2335,"(65.0, 75.0, -155.0, -145.0)",-0.631713115097869,1.0,0.0
42,-60,-140,0.4253,0.4253,"(-65.0, -55.0, -145.0, -135.0)",-0.3713046172859767,1.0,0.0
43,-50,-140,0.1877,0.1877,"(-55.0, -45.0, -145.0, -135.0)",-0.7265357273786537,1.0,0.0
44,-40,-140,0.1879,0.1879,"(-45.0, -35.0, -145.0, -135.0)",-0.7260732198994744,1.0,0.0
45,-30,-140,0.0263999999999999,0.0263999999999999,"(-35.0, -25.0, -145.0, -135.0)",-1.5783960731301705,1.0,0.0
46,-20,-140,0.0182,0.0182,"(-25.0, -15.0, -145.0, -135.0)",-1.739928612014925,1.0,0.0
47,-10,-140,0.0291,0.0291,"(-15.0, -5.0, -145.0, -135.0)",-1.5361070110140926,1.0,0.0
48,0,-140,0.0,0.0,"(-5.0, 5.0, -145.0, -135.0)",-inf,0.0,24.0
